"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-02-09"
"Position","Track Name","Artist","Streams","URL","2018-02-09"
"1","God's Plan","Drake","7119016","https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY","2018-02-09"
"2","All The Stars (with SZA)","Kendrick Lamar","4172783","https://open.spotify.com/track/2Imq77E6CEJR5TPUxlJvTY","2018-02-09"
"3","Pray For Me (with Kendrick Lamar)","The Weeknd","3807792","https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x","2018-02-09"
"4","rockstar","Post Malone","3467252","https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R","2018-02-09"
"5","Havana (feat. Young Thug)","Camila Cabello","3294385","https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W","2018-02-09"
"6","IDGAF","Dua Lipa","3092872","https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr","2018-02-09"
"7","Finesse - Remix; feat. Cardi B","Bruno Mars","2854162","https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i","2018-02-09"
"8","River (feat. Ed Sheeran)","Eminem","2660708","https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD","2018-02-09"
"9","Mine","Bazzi","2650413","https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M","2018-02-09"
"10","Échame La Culpa","Luis Fonsi","2570590","https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK","2018-02-09"
"11","Dura","Daddy Yankee","2420180","https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc","2018-02-09"
"12","Never Be the Same","Camila Cabello","2416493","https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ","2018-02-09"
"13","The Middle","Zedd","2352160","https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc","2018-02-09"
"14","Let You Down","NF","2314544","https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr","2018-02-09"
"15","Black Panther","Kendrick Lamar","2305438","https://open.spotify.com/track/3vKU0GTHo5nl3kTCYAiqc3","2018-02-09"
"16","Wolves","Selena Gomez","2305095","https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC","2018-02-09"
"17","New Rules","Dua Lipa","2293616","https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0","2018-02-09"
"18","Him & I (with Halsey)","G-Eazy","2220707","https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4","2018-02-09"
"19","X (with 2 Chainz & Saudi)","ScHoolboy Q","2204390","https://open.spotify.com/track/4iEpZuwhEuoilKaZjXQPbF","2018-02-09"
"20","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental","2200389","https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x","2018-02-09"
"21","Stir Fry","Migos","2197896","https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf","2018-02-09"
"22","Perfect","Ed Sheeran","2196297","https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v","2018-02-09"
"23","Sick Boy","The Chainsmokers","2101317","https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0","2018-02-09"
"24","Meant to Be (feat. Florida Georgia Line)","Bebe Rexha","2077218","https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn","2018-02-09"
"25","I Fall Apart","Post Malone","2049796","https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh","2018-02-09"
"26","King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock","1941776","https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH","2018-02-09"
"27","Shape of You","Ed Sheeran","1927668","https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3","2018-02-09"
"28","The Ways (with Swae Lee)","Khalid","1907247","https://open.spotify.com/track/3pf6HWXtEalIWoZcPTFbc6","2018-02-09"
"29","Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld","1902111","https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y","2018-02-09"
"30","Corazón","Maluma","1811123","https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou","2018-02-09"
