,Artist,api_artist,api_url,artist_api_id,genres
0,The Weeknd,The Weeknd,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,1Xyo4u8uXC1ZmMpatF05PJ,"['canadian contemporary r&b', 'canadian pop', 'hip hop', 'pop', 'rap']"
1,The Chainsmokers,The Chainsmokers,https://open.spotify.com/artist/69GGBxA162lTqCwzJG5jLp,69GGBxA162lTqCwzJG5jLp,"['edm', 'electropop', 'pop', 'tropical house']"
2,DJ Snake,DJ Snake,https://open.spotify.com/artist/540vIaP2JwjQb9dm3aArA4,540vIaP2JwjQb9dm3aArA4,"['dance pop', 'edm', 'electronic trap', 'pop', 'tropical house']"
3,Clean Bandit,Clean Bandit,https://open.spotify.com/artist/6MDME20pz9RveH9rEXvrOM,6MDME20pz9RveH9rEXvrOM,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']"
4,Drake,Drake,https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4,3TVXtAsR1Inumwj472S9r4,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
5,Bruno Mars,Bruno Mars,https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C,0du5cEVh5yTK9QJze8zA0C,"['pop', 'post-teen pop']"
6,Maroon 5,Maroon 5,https://open.spotify.com/artist/04gDigrS5kc9YWfZHwBETP,04gDigrS5kc9YWfZHwBETP,['pop']
7,Rae Sremmurd,Rae Sremmurd,https://open.spotify.com/artist/7iZtZyCzp3LItcw1wtPI3D,7iZtZyCzp3LItcw1wtPI3D,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
8,Shakira,Shakira,https://open.spotify.com/artist/0EmeFodog0BfCgMzAIvKQp,0EmeFodog0BfCgMzAIvKQp,"['colombian pop', 'dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']"
9,ZAYN,ZAYN,https://open.spotify.com/artist/5ZsFI1h6hIdQRw2ti0hz81,5ZsFI1h6hIdQRw2ti0hz81,"['dance pop', 'pop', 'post-teen pop']"
10,James Arthur,James Arthur,https://open.spotify.com/artist/4IWBUUAFIplrNtaOHcJPRM,4IWBUUAFIplrNtaOHcJPRM,"['dance pop', 'pop', 'post-teen pop', 'talent show']"
11,Migos,Migos,https://open.spotify.com/artist/6oMuImdp5ZcFhWP0ESe6mG,6oMuImdp5ZcFhWP0ESe6mG,"['atl hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
12,Major Lazer,Major Lazer,https://open.spotify.com/artist/738wLrAtLtCtFOLvQBXOXp,738wLrAtLtCtFOLvQBXOXp,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop rap', 'tropical house']"
13,Martin Garrix,Martin Garrix,https://open.spotify.com/artist/60d24wfXkVzDSfLS6hyCjZ,60d24wfXkVzDSfLS6hyCjZ,"['big room', 'edm', 'pop', 'progressive house', 'tropical house']"
14,Ariana Grande,Ariana Grande,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,66CXWjxzNUsdJxJ2JdwvnR,"['dance pop', 'pop', 'post-teen pop']"
15,Starley,Starley,https://open.spotify.com/artist/02A3cEvlLLCbIMVDrK2GHV,02A3cEvlLLCbIMVDrK2GHV,['aussietronica']
16,Justin Timberlake,Justin Timberlake,https://open.spotify.com/artist/31TPClRtHm23RisEBtV3X7,31TPClRtHm23RisEBtV3X7,"['dance pop', 'pop']"
17,Shawn Mendes,Shawn Mendes,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,7n2wHs1TKAczGzO7Dd2rGr,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
18,Steve Aoki,Steve Aoki,https://open.spotify.com/artist/77AiFEVeAVj2ORpC85QVJs,77AiFEVeAVj2ORpC85QVJs,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'tropical house']"
19,Calvin Harris,Calvin Harris,https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY,7CajNmpbOovFoOoasH2HaY,"['edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']"
20,Hailee Steinfeld,Hailee Steinfeld,https://open.spotify.com/artist/5p7f24Rk5HkUZsaS3BLG5F,5p7f24Rk5HkUZsaS3BLG5F,"['dance pop', 'pop', 'post-teen pop', 'tropical house']"
21,Machine Gun Kelly,Machine Gun Kelly,https://open.spotify.com/artist/6TIYQ3jFPwQSRmorSezPxX,6TIYQ3jFPwQSRmorSezPxX,"['hip hop', 'pop rap', 'rap']"
