"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2019-04-06"
"Position","Track Name","Artist","Streams","URL","2019-04-06"
"1","bad guy","Billie Eilish","6145550","https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m","2019-04-06"
"2","Old Town Road","Lil Nas X","4331942","https://open.spotify.com/track/53CJANUxooaqGOtdsBTh7O","2019-04-06"
"3","Con Calma","Daddy Yankee","4278245","https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m","2019-04-06"
"4","Old Town Road - Remix","Lil Nas X","4058046","https://open.spotify.com/track/6u7jPi22kF8CTQ3rb9DHE7","2019-04-06"
"5","7 rings","Ariana Grande","3619824","https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF","2019-04-06"
"6","Sucker","Jonas Brothers","3407509","https://open.spotify.com/track/4y3OI86AEP6PQoDE6olYhO","2019-04-06"
"7","Kill This Love","BLACKPINK","3327959","https://open.spotify.com/track/3VHrwffnUZFb7FidvPV3OA","2019-04-06"
"8","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","3276833","https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P","2019-04-06"
"9","bury a friend","Billie Eilish","3047917","https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF","2019-04-06"
"10","wish you were gay","Billie Eilish","3040008","https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD","2019-04-06"
"11","Wow.","Post Malone","2895106","https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP","2019-04-06"
"12","Shallow","Lady Gaga","2793969","https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B","2019-04-06"
"13","Talk","Khalid","2533273","https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq","2019-04-06"
"14","Calma - Remix","Pedro Capó","2442107","https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4","2019-04-06"
"15","Don't Call Me Up","Mabel","2426320","https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8","2019-04-06"
"16","break up with your girlfriend, i'm bored","Ariana Grande","2406236","https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS","2019-04-06"
"17","when the party's over","Billie Eilish","2395152","https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I","2019-04-06"
"18","Pa Mí - Remix","Dalex","2293137","https://open.spotify.com/track/224EVTFiLsdQignUFLvDeH","2019-04-06"
"19","HP","Maluma","2246390","https://open.spotify.com/track/31UjYv5vLsDkzchJOtUMtW","2019-04-06"
"20","Outta My Head (with John Mayer)","Khalid","2240372","https://open.spotify.com/track/09oZ9eXQ2fo6YDrPzJqAoP","2019-04-06"
"21","Baila Baila Baila","Ozuna","2233621","https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG","2019-04-06"
"22","Dancing With A Stranger (with Normani)","Sam Smith","2225297","https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki","2019-04-06"
"23","Sweet but Psycho","Ava Max","2212283","https://open.spotify.com/track/25sgk305KZfyuqVBQIahim","2019-04-06"
"24","Happier","Marshmello","2197344","https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99","2019-04-06"
"25","MONOPOLY (with Victoria Monét)","Ariana Grande","2160753","https://open.spotify.com/track/6tsOcBnaKgzK22yEiqRh8P","2019-04-06"
"26","Here With Me","Marshmello","2160488","https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac","2019-04-06"
"27","Secreto","Anuel Aa","2149241","https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0","2019-04-06"
"28","My Bad","Khalid","2121173","https://open.spotify.com/track/2XKFnwB6djxrJCjR3PdeRb","2019-04-06"
"29","Better","Khalid","1990748","https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ","2019-04-06"
"30","Swervin (feat. 6ix9ine)","A Boogie Wit da Hoodie","1947282","https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6","2019-04-06"
"31","Let Me Down Slowly","Alec Benjamin","1944540","https://open.spotify.com/track/2qxmye6gAegTMjLKEBoR3d","2019-04-06"
"32","Without Me","Halsey","1932977","https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C","2019-04-06"
"33","MIDDLE CHILD","J. Cole","1897858","https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8","2019-04-06"
"34","all the good girls go to hell","Billie Eilish","1880208","https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx","2019-04-06"
"35","i'm so tired...","Lauv","1872513","https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI","2019-04-06"
"36","thank u, next","Ariana Grande","1866825","https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ","2019-04-06"
"37","you should see me in a crown","Billie Eilish","1776035","https://open.spotify.com/track/3XF5xLJHOQQRbWya6hBp7d","2019-04-06"
"38","Murder On My Mind","YNW Melly","1738929","https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC","2019-04-06"
"39","xanny","Billie Eilish","1738403","https://open.spotify.com/track/4QIo4oxwzzafcBWkKjDpXY","2019-04-06"
"40","Con Altura","ROSALÍA","1725718","https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM","2019-04-06"
"41","Going Bad (feat. Drake)","Meek Mill","1719923","https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc","2019-04-06"
"42","High Hopes","Panic! At The Disco","1698795","https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom","2019-04-06"
"43","my strange addiction","Billie Eilish","1698518","https://open.spotify.com/track/3Tc57t9l2O8FwQZtQOvPXK","2019-04-06"
"44","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","1672511","https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM","2019-04-06"
"45","Verte Ir","DJ Luian","1610409","https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR","2019-04-06"
"46","Giant (with Rag'n'Bone Man)","Calvin Harris","1605098","https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd","2019-04-06"
"47","MIA (feat. Drake)","Bad Bunny","1554862","https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO","2019-04-06"
"48","Adan y Eva","Paulo Londra","1551811","https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk","2019-04-06"
"49","Bohemian Rhapsody - Remastered 2011","Queen","1546528","https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv","2019-04-06"
"50","Te Robaré","Nicky Jam","1505158","https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw","2019-04-06"
"51","lovely","Billie Eilish","1491447","https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf","2019-04-06"
"52","Saturday Nights","Khalid","1476980","https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8","2019-04-06"
"53","Desconocidos","Mau y Ricky","1467097","https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ","2019-04-06"
"54","Pure Water (with Migos)","Mustard","1456090","https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp","2019-04-06"
"55","Don't Pretend","Khalid","1446412","https://open.spotify.com/track/1E6DEDWDKHoOW0fcFuDghV","2019-04-06"
"56","I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco","1430864","https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt","2019-04-06"
"57","On My Way","Alan Walker","1400566","https://open.spotify.com/track/4n7jnSxVLd8QioibtTDBDq","2019-04-06"
"58","Te Vi","Piso 21","1370228","https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd","2019-04-06"
"59","Eastside (with Halsey & Khalid)","benny blanco","1367295","https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU","2019-04-06"
"60","Better Now","Post Malone","1353176","https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK","2019-04-06"
"61","Cool","Jonas Brothers","1337360","https://open.spotify.com/track/3QmolSZqjjLksTUvZJ6pPS","2019-04-06"
"62","Please Me","Cardi B","1331850","https://open.spotify.com/track/0PG9fbaaHFHfre2gUVo7AN","2019-04-06"
"63","SICKO MODE","Travis Scott","1315360","https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h","2019-04-06"
"64","Amanece","Anuel Aa","1298860","https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH","2019-04-06"
"65","ilomilo","Billie Eilish","1289149","https://open.spotify.com/track/7qEKqBCD2vE5vIBsrUitpD","2019-04-06"
"66","Someone You Loved","Lewis Capaldi","1272673","https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc","2019-04-06"
"67","Who Do You Love","The Chainsmokers","1261893","https://open.spotify.com/track/11cDEev79fPKi6uJCjUhu8","2019-04-06"
"68","i love you","Billie Eilish","1260944","https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc","2019-04-06"
"69","Robbery","Juice WRLD","1242817","https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ","2019-04-06"
"70","Un Año","Sebastian Yatra","1237744","https://open.spotify.com/track/5BDP2tky8oMQJPS33frKVp","2019-04-06"
"71","rockstar (feat. 21 Savage)","Post Malone","1231963","https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt","2019-04-06"
"72","Ella Quiere Beber - Remix","Anuel Aa","1229254","https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw","2019-04-06"
"73","Look Back At It","A Boogie Wit da Hoodie","1228785","https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8","2019-04-06"
"74","Mixed Personalities (feat. Kanye West)","YNW Melly","1217453","https://open.spotify.com/track/6vWEAOUSxohKxhp0K1BsxL","2019-04-06"
"75","Thotiana","Blueface","1213736","https://open.spotify.com/track/3oh6SCCeLuXhFpEyepla6G","2019-04-06"
"76","Girls Like You (feat. Cardi B)","Maroon 5","1213592","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8","2019-04-06"
"77","So Am I","Ava Max","1199221","https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7","2019-04-06"
"78","Racks In The Middle (feat. Roddy Ricch and Hit-Boy)","Nipsey Hussle","1192267","https://open.spotify.com/track/6ya8ejoKgw906Y8LWclqrp","2019-04-06"
"79","Au DD","PNL","1177658","https://open.spotify.com/track/5lCxlSBFyP5g4EhVypAoOu","2019-04-06"
"80","Be Alright","Dean Lewis","1175945","https://open.spotify.com/track/2H4gf1wLxvYreMj1jcaN0k","2019-04-06"
"81","Esclavo de Tus Besos","Manuel Turizo","1164122","https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX","2019-04-06"
"82","listen before i go","Billie Eilish","1150537","https://open.spotify.com/track/0tMSssfxAL2oV8Vri0mFHE","2019-04-06"
